,default payment next month,test
2308,0,0
22404,0,0
23397,0,0
25058,0,0
2664,1,0
8511,0,0
5148,1,0
7790,0,0
11311,0,0
19043,0,0
10784,0,1
22246,0,0
3268,0,0
15947,1,1
14977,0,0
14474,0,0
28694,0,0
14054,0,0
26545,0,0
14980,1,1
17636,0,0
3931,1,0
8387,0,0
8028,0,0
9482,0,0
22572,0,0
15107,0,0
3673,1,1
21388,0,0
5937,0,0
27033,0,0
29271,0,0
21880,0,0
6508,0,0
21457,1,0
20071,0,0
27012,0,0
10092,0,0
22567,1,0
12976,0,0
3813,0,0
7337,1,0
24483,1,0
19592,0,0
5121,1,0
14905,0,0
8223,0,1
2868,0,0
2342,0,0
8832,0,0
7932,1,0
16557,0,0
20604,0,0
12983,0,0
3014,0,0
27331,0,0
12124,0,0
3752,0,0
27387,0,0
12335,0,0
11544,1,0
11356,0,1
2676,0,0
28738,0,0
29995,0,0
20747,0,0
13375,0,0
17986,0,0
7885,1,0
13332,0,0
9585,0,0
6332,1,0
24429,1,0
18079,0,0
5201,0,0
747,1,0
9760,0,0
29612,1,0
19992,0,0
23189,0,0
25535,0,0
17963,1,0
25246,0,0
5081,0,0
9350,0,0
10982,0,0
23621,1,0
13235,1,0
19367,0,0
1190,0,0
821,1,0
15878,1,0
20497,1,0
9419,0,1
28100,0,0
8892,0,0
4461,1,0
25229,0,0
29985,0,0
12606,1,0
25978,0,0
19132,0,0
14740,0,0
12146,0,0
2744,0,0
10114,0,0
2383,0,0
9153,0,0
1406,0,0
16560,0,0
19361,0,0
10342,0,0
27756,0,0
17614,1,1
19906,1,1
24530,0,0
27308,0,1
17788,0,1
13075,0,0
22089,0,0
28573,0,0
20568,1,1
17890,0,0
16837,0,0
6552,1,0
19637,1,1
18294,0,0
2876,0,0
2982,0,0
17410,0,0
15162,0,0
2153,0,0
18700,1,0
7667,0,0
15243,0,0
16857,0,0
13961,0,0
217,0,1
23287,1,0
2213,0,0
6580,0,0
27602,0,0
19376,0,0
7539,0,0
14976,1,1
10128,1,0
5705,1,0
5953,1,0
538,0,0
21663,0,0
21567,0,0
28982,0,0
7427,1,0
20725,0,0
4181,0,0
18701,0,0
15414,1,0
12154,0,1
579,0,0
2168,0,0
24419,0,0
250,0,0
15692,0,0
9971,0,0
16180,0,0
11489,0,0
9144,0,0
29432,0,0
25790,0,0
5771,0,0
26746,1,1
2325,0,0
15430,0,0
430,0,0
10768,1,1
2532,0,0
2457,0,1
19186,0,0
27235,0,1
22291,0,0
11212,1,0
505,0,0
23112,0,0
18779,0,0
19082,1,0
17894,1,1
19006,0,0
19690,0,0
27093,0,0
23179,0,0
12626,0,0
3834,1,1
1330,0,0
21466,1,0
23828,0,0
2541,1,1
28612,0,0
21995,0,0
11899,0,0
25872,0,0
26225,0,0
15805,0,0
9555,0,0
7567,0,0
3507,0,0
8834,0,0
18784,0,0
29857,0,0
23587,0,0
28267,0,0
5844,0,0
26476,0,0
24198,0,0
28881,0,0
4845,1,0
4985,1,1
23399,1,0
25569,1,1
20262,0,0
20856,0,0
26822,0,0
9317,0,0
25506,0,0
14847,0,0
7842,1,0
28647,0,0
29984,0,0
13048,1,1
25099,0,0
14856,0,0
25013,0,0
10739,1,1
16094,1,0
2208,0,0
18840,1,1
28272,0,0
22372,0,0
2266,0,0
5226,0,0
28301,0,1
21578,0,0
20122,0,0
17892,0,0
20927,0,0
13022,1,0
20736,0,0
27366,0,0
11740,1,0
6547,0,0
3282,0,0
15614,0,1
23661,0,0
2276,0,0
26050,0,0
12354,0,0
16485,0,0
19535,0,0
18673,0,0
8696,0,1
22564,0,0
16379,1,1
25294,0,0
28680,0,0
24991,0,0
29669,0,0
5836,0,0
10235,0,0
22824,0,0
279,0,0
22376,0,1
25273,0,0
5160,0,0
29752,0,0
3690,0,0
5915,0,1
11578,1,0
18078,0,0
19536,1,1
26023,0,0
29719,0,0
21739,1,1
25743,1,1
20552,0,0
11702,0,0
11514,0,0
9006,1,1
11742,0,0
28261,1,1
16469,1,1
13676,0,1
20163,1,1
16785,1,1
29322,0,1
15693,0,0
17335,0,0
3735,0,0
25484,1,1
3643,1,0
7198,0,0
25365,0,0
24936,0,0
21305,0,0
29365,0,0
21523,1,0
21718,0,0
1837,1,0
29915,0,1
10984,0,0
9303,0,0
12799,0,0
1457,1,0
1092,0,0
4149,0,0
11008,0,1
27068,1,1
9189,1,0
4932,0,0
14465,0,1
4556,0,0
11488,0,0
12074,0,0
25101,0,0
16797,0,0
20070,0,0
14418,0,1
28245,1,0
25389,0,0
24996,1,1
17278,0,1
6481,0,0
8020,1,0
9100,1,0
17476,0,0
8589,0,0
29161,1,1
24515,0,0
27274,0,0
23872,0,0
29363,0,0
1503,0,0
9936,0,0
10939,0,0
20294,0,0
3949,0,0
6438,0,0
13619,1,0
14303,0,0
22093,1,0
15948,0,0
28189,0,0
13064,0,0
13250,0,0
29166,0,0
7743,1,1
26226,0,0
7755,0,1
1412,0,0
6528,1,0
1122,0,0
16333,1,0
5245,0,0
12152,1,0
19640,1,1
25207,0,0
9433,1,0
7468,1,1
29011,1,0
11031,1,0
29442,0,0
7293,0,0
12971,1,0
5346,0,0
14470,1,1
28811,0,0
15962,0,0
24274,0,0
21149,0,0
10863,0,0
17754,0,0
4484,0,0
10560,0,0
24577,0,0
20326,0,0
21716,0,0
10598,0,0
1433,0,0
5860,0,0
12426,0,0
10980,0,0
22044,0,0
27830,0,0
23077,0,0
26376,1,0
10406,0,0
23490,1,0
19566,0,0
11472,1,1
12063,0,0
8931,0,0
10968,1,1
27755,0,0
26847,0,0
1610,0,0
29236,1,0
16266,0,0
12393,0,0
26839,0,0
2767,1,0
12776,0,0
23176,0,0
216,1,0
24876,1,1
6165,0,0
3901,1,1
21231,0,0
24636,1,0
9999,0,0
14797,0,0
6087,1,0
14459,0,0
2856,0,0
18217,0,0
17041,0,0
12414,0,0
9672,0,0
516,0,0
11623,0,0
8281,0,0
20256,0,0
12078,0,1
17734,0,0
2157,0,0
28081,1,1
10726,0,0
29030,0,0
3096,0,0
22753,1,1
3108,0,0
10276,0,0
21881,0,0
6427,0,0
9252,1,0
2406,0,0
25038,0,0
14642,0,0
24743,0,0
18524,0,0
13420,0,0
3398,0,0
8943,0,0
27172,0,0
6939,0,0
27315,0,0
28314,1,0
27774,0,0
9816,0,0
16139,0,0
9418,0,0
12315,0,0
2518,0,0
29751,0,0
16601,0,0
17592,0,0
5100,0,0
9842,1,1
17187,0,0
7277,1,1
18772,1,0
10078,0,0
21770,0,0
26443,0,0
9892,1,0
6328,0,0
10045,0,0
26119,1,0
14329,0,1
26755,0,0
11846,0,0
16586,0,0
17550,1,1
21264,1,0
15091,0,0
23480,0,0
18393,1,1
22276,1,0
10399,1,0
8164,0,0
22500,0,0
10883,0,0
23086,0,0
24672,1,0
13720,1,0
17846,1,1
3382,0,0
9845,0,0
18832,0,0
19340,0,0
7339,1,1
14368,0,0
14659,0,0
428,0,0
16204,0,0
17507,1,0
624,0,0
28355,0,0
17170,0,0
1138,0,0
17663,0,0
24511,0,0
19542,0,0
4408,0,1
17120,0,0
10352,0,0
29596,0,0
9477,1,0
10299,0,0
2885,0,0
18417,0,0
7500,0,0
2683,0,0
23493,0,0
17172,0,0
22924,0,0
9898,0,0
6216,0,0
20719,0,0
7978,1,0
11405,0,0
5551,0,0
738,0,0
28717,0,0
10746,0,0
27645,0,0
7071,0,0
1710,1,0
3508,0,0
23162,0,0
29049,1,0
13804,0,0
13492,0,0
18340,0,0
12051,0,1
15955,0,0
18003,0,1
7779,0,0
9003,0,0
15746,0,0
25481,0,0
733,0,0
14198,0,0
21906,0,0
21044,0,0
15820,0,1
18842,0,0
20244,0,0
8203,0,0
28966,0,0
10586,1,1
19591,0,1
20199,0,0
18896,0,0
23628,0,0
4969,0,0
12621,0,0
8247,0,0
24382,1,0
2904,0,0
20273,0,0
12101,0,0
6069,0,0
12140,0,0
3698,1,0
29677,0,0
1912,0,0
6400,0,0
4475,0,0
23454,1,0
29217,0,0
8345,1,1
26623,0,0
26597,0,0
10038,0,0
3263,0,0
10261,0,0
16982,0,0
4977,0,0
11327,0,0
28216,0,0
20346,0,0
4229,1,0
5218,1,1
15844,0,0
19912,1,0
1427,0,1
8121,0,0
12793,0,0
10146,1,0
25767,1,0
26729,0,0
14499,0,1
10438,0,0
14563,1,0
16382,1,0
12947,1,0
16404,0,0
16383,0,0
27165,0,0
6797,0,0
11387,1,0
16953,0,1
2041,0,0
9403,0,0
14050,0,0
2907,1,0
9199,0,0
8739,0,0
14410,1,0
29287,0,0
1660,0,0
7318,0,0
11788,0,0
17306,0,0
24753,0,0
24337,0,0
27316,0,0
4981,1,0
14770,1,0
28421,0,0
26899,1,0
20086,0,0
4984,0,0
15281,0,0
26494,1,0
21581,0,0
896,1,1
1684,0,0
16497,0,1
16983,0,0
11193,0,0
9520,0,0
1487,0,0
22667,0,0
25028,0,0
9633,0,0
22323,0,0
10242,0,0
21377,0,0
15736,0,0
25681,0,0
8354,0,0
6346,0,0
13999,0,0
11990,0,0
5427,0,0
17694,0,0
